USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 185328  3600 ?        Ss   1月05   0:10 /sbin/init splash
jylee      1997  0.0  0.2 1247216 3624 ?        Ssl  1月05   0:05 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
jylee      1999  0.0  0.3 585560  4732 ?        Ssl  1月05   0:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
jylee      2000  0.0  0.2 765108  3800 ?        Ssl  1月05   0:02 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
jylee      2002  0.0  0.3 557244  4976 ?        Ssl  1月05   0:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
jylee      2006  0.0  0.2 774716  3840 ?        Ssl  1月05   0:03 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
jylee      2021  0.0  0.1 403152  2728 ?        Ssl  1月05   0:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
jylee      2039  1.3  0.1 442236  2652 ?        S<l  1月05  42:13 /usr/bin/pulseaudio --start --log-target=syslog
jylee      2060  0.0  0.1 178660  1952 ?        Sl   1月05   0:00 /usr/lib/dconf/dconf-service
jylee      2064  0.0  0.5 536996  8688 ?        Sl   1月05   0:01 /usr/lib/x86_64-linux-gnu/notify-osd
jylee      2071  0.0  0.2 1252540 4272 ?        Sl   1月05   0:00 /usr/lib/evolution/evolution-source-registry
jylee      2101  0.9  2.0 1603416 31208 ?       Ssl  1月05  31:16 compiz
jylee      2115  0.0  0.1 877200  2728 ?        Sl   1月05   0:00 /usr/lib/evolution/evolution-calendar-factory
jylee      2119  0.0  0.2 584472  4424 ?        Sl   1月05   0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
jylee      2128  0.0  0.3 700792  5332 ?        Sl   1月05   0:02 nm-applet
jylee      2129  0.0  0.2 439128  3944 ?        Sl   1月05   0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
jylee      2135  0.0  3.9 1631996 60416 ?       SLl  1月05   0:36 /usr/bin/gnome-software --gapplication-service
root       2158  0.0  0.7 635332 11268 ?        Sl   1月05   0:02 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
jylee      2161  0.0  1.2 1290492 18372 ?       Sl   1月05   0:23 nautilus -n
jylee      2172  0.0  0.1 303648  1848 ?        Sl   1月05   0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
jylee      2173  0.1  0.3 195016  4696 ?        S    1月05   4:26 /usr/lib/vmware-tools/sbin64/vmtoolsd -n vmusr --blockFd 3
root       2182  0.0  0.1 382264  2204 ?        Ssl  1月05   0:00 /usr/lib/udisks2/udisksd --no-debug
jylee      2194  0.0  0.1 410844  1712 ?        Sl   1月05   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
jylee      2200  0.0  0.0 266732   696 ?        Sl   1月05   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
jylee      2205  0.0  0.0 264768  1288 ?        Sl   1月05   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
jylee      2209  0.0  0.3 943268  4852 ?        Sl   1月05   0:07 fcitx-qimpanel
jylee      2222  0.0  0.1 278928  1700 ?        Sl   1月05   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
jylee      2224  0.0  0.0  68536  1260 ?        S    1月05   0:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
jylee      2244  0.0  0.2 1273224 3092 ?        Sl   1月05   0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2115x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2115/2
jylee      2247  0.0  0.1 371012  1900 ?        Sl   1月05   0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
jylee      2262  0.0  0.1 821896  2468 ?        Sl   1月05   0:01 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2115x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2115/3
jylee      2276  0.0  0.1 704712  2296 ?        Sl   1月05   0:00 /usr/lib/evolution/evolution-addressbook-factory
jylee      2288  0.0  0.1 782532  2532 ?        Sl   1月05   0:01 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2276x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2276/2
jylee      2356  0.0  0.0   4508     4 ?        S    1月05   0:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
jylee      2360  0.0  0.1 423548  2816 ?        Sl   1月05   0:00 /usr/bin/zeitgeist-daemon
jylee      2367  0.0  0.3 323568  4848 ?        Sl   1月05   0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
jylee      2369  0.0  0.2 432528  3280 ?        Sl   1月05   0:04 zeitgeist-datahub
jylee      2502  0.0  0.6 627296  9768 ?        Sl   1月05   0:06 update-notifier
jylee      2827  0.0  0.1 522388  2448 ?        Sl   1月05   0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root       2931  0.0  0.1 274820  2420 ?        Ssl  1月05   0:00 /usr/sbin/cups-browsed
systemd+   5850  0.0  0.0  26688   664 ?        Ss   1月06   0:00 /lib/systemd/systemd-networkd
jylee      8517  0.0  0.1 445160  2160 ?        Sl   1月06   0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.6 /org/gtk/gvfs/exec_spaw/1
jylee      8531  0.0  0.1 758772  2188 ?        Sl   1月06   0:00 /usr/lib/gvfs/gvfsd-smb-browse --spawner :1.6 /org/gtk/gvfs/exec_spaw/3
jylee      8547  0.0  0.0 442684  1472 ?        Sl   1月06   0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.6 /org/gtk/gvfs/exec_spaw/5
jylee      8798  0.0  0.1 193248  1696 ?        Sl   1月06   0:00 /usr/lib/gvfs/gvfsd-metadata
jylee      9855  0.0  0.1 289116  1532 ?        Sl   1月06   0:27 /usr/lib/speech-dispatcher-modules/sd_generic /etc/speech-dispatcher/modules/generic.conf
jylee      9858  0.0  0.0 289004  1504 ?        Sl   1月06   0:27 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
jylee      9861  0.0  0.1 334396  1968 ?        Sl   1月06   0:27 /usr/lib/speech-dispatcher-modules/sd_espeak /etc/speech-dispatcher/modules/espeak.conf
jylee      9868  0.0  0.1 289004  1648 ?        Sl   1月06   0:28 /usr/lib/speech-dispatcher-modules/sd_cicero /etc/speech-dispatcher/modules/cicero.conf
jylee      9870  0.0  0.0      0     0 ?        Z    1月06   0:00 [sd_cicero] <defunct>
jylee      9873  0.0  0.0 104284   540 ?        Ssl  1月06   0:00 /usr/bin/speech-dispatcher --spawn --communication-method unix_socket --socket-path /run/user/1000/speech-dispatcher/speechd.sock
jylee      9941  0.0  0.3 654740  5420 ?        Sl   1月06   0:05 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
jylee      9951  0.0  1.1 591316 17988 ?        Sl   1月06   0:07 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
jylee      9967  0.0  0.1 572516  2136 ?        Sl   1月06   0:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
jylee      9978  0.0  0.1 414796  2708 ?        Sl   1月06   0:03 /usr/lib/x86_64-linux-gnu/unity-lens-video/unity-video-lens-daemon
jylee      9994  0.0  0.1 345328  2132 ?        Sl   1月06   0:02 /usr/lib/x86_64-linux-gnu/unity-lens-music/unity-music-daemon
jylee     10000  0.0  0.1 370328  2424 ?        Sl   1月06   0:00 /usr/bin/python3 /usr/share/unity-scopes/shotwell/unity_shotwell_daemon.py
root      18265  0.0  0.1  16124  1860 ?        S    00:17   0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-ens33.pid -lf /var/lib/NetworkManager/dhclient-1bd5e7f7-16cb-3237-ac76-2aa0ff9614d9-ens33.lease -cf /var/lib/NetworkManager/dhclient-ens33.conf ens33
jylee     19493  3.7 12.6 2323076 191052 ?      Sl   00:28  42:05 /usr/lib/firefox/firefox
